Partido,Localidad,link Indec,Velocidad (Mbps),Provincia,Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0,1.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0,2.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0,19.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,3,85.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,3,145.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,6,76.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,8,299.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,10,288.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,15,415.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,20,1796.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,25,144.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,30,1501.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,40,27.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,50,647.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,80,9.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,100,693.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,300,95.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,500,3.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,10,59.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,20,5.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,0,1.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,3,181.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,10,10.0
BUENOS AIRES,25 de Mayo,Ernestina,6854030.0,5,75.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,2,106.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,3,3.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,4,56.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,5,7.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,6,3.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,8,4.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,10,1.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,65,1.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050.0,3,5.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,2,174.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,3,32.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,4,9.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,5,8.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,6,914.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,10,2.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,15,322.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,25,29.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,50,20.0
